斎藤,"さいとう","Shogi pro: 斎藤慎太郎, 斎藤明日斗, 斎藤銀次郎, 斎藤雅雄",Last Name:
日浦,"ひうら","Shogi pro: 日浦市郎",Last Name:
早水,"はやみず","Shogi pro: 早水千紗",Last Name:
昇,"のぼる","Shogi pro: 大友昇, 小阪昇, 桜井昇, 田丸昇",First Name:
昌優,"よしまさ","Shogi pro: 佐伯昌優",First Name:
昌男,"まさお","Shogi pro: 北村昌男",First Name:
昌隆,"まさたか","Shogi pro: 杉本昌隆",First Name:
明,"あきら","Shogi pro: 渡辺明, 西尾明",First Name:
明宏,"あきひろ","Shogi pro: 井田明宏",First Name:
明日斗,"あすと","Shogi pro: 斎藤明日斗",First Name:
明日香,"あすか","Shogi pro: 伊藤明日香",First Name:
明浩,"あきひろ","Shogi pro: 高田明浩",First Name:
易二郎,"やすじろう","Shogi pro: 金易二郎",First Name:
星田,"ほしだ","Shogi pro: 星田啓三",Last Name:
星野,"ほしの","Shogi pro: 星野良生",Last Name:
映二,"えいじ","Shogi pro: 大島映二",First Name:
春吉,"はるきち","Shogi pro: 志沢春吉",First Name:
春雄,"はるお","Shogi pro: 沼春雄",First Name:
春香,"はるか","Shogi pro: 相川春香",First Name:
是安,"これやす","Shogi pro: 檜垣是安",First Name:
晃,"あきら","Shogi pro: 木下晃",First Name:
晴子,"はるこ","Shogi pro: 斎田晴子",First Name:
晶司,"しょうじ","Shogi pro: 瀬川晶司",First Name:
智史,"さとし","Shogi pro: 高野智史",First Name:
智弘,"ともひろ","Shogi pro: 村田智弘",First Name:
智穂,"ちほ","Shogi pro: 村田智穂",First Name:
智美,"ともみ","Shogi pro: 甲斐智美",First Name:
有司,"ゆうじ","Shogi pro: 依田有司",First Name:
有吉,"ありよし","Shogi pro: 有吉道夫",Last Name:
有森,"ありもり","Shogi pro: 有森浩三",Last Name:
有野,"ありの","Shogi pro: 有野芳人",Last Name:
朋佳,"ともか","Shogi pro: 西山朋佳",First Name:
服部,"はっとり","Shogi pro: 服部慎一郎",Last Name:
朗,"あきら","Shogi pro: 島朗",First Name:
木下,"きのした","Shogi pro: 木下晃, 木下浩一",Last Name:
木川,"きがわ","Shogi pro: 木川貴一",Last Name:
木村,"きむら","Shogi pro: 木村一基, 木村嘉孝, 木村朱里, 木村義徳, 木村義雄",Last Name:
